ID,Formation_E
1607,555.1228
1608,579.899
1609,572.0621
1610,572.6742
1611,592.0252
1612,576.8869
1613,559.9878
1614,587.9068
1615,586.6531
1616,605.8401
1617,582.3885
1618,604.1106
1619,600.4632
1620,581.4362
1621,603.5156
1622,576.3479
1623,578.5806
1624,607.6715
1625,615.5538
1626,610.6959
1627,599.608
1628,586.3549
1629,624.3893
1630,581.2765
1631,594.9281
1632,587.9203
1633,620.514
1634,586.1171
1635,657.6694
1636,600.3763
1637,635.4512
1638,618.8867
1639,614.7799
1640,625.9508
1641,634.0839
1642,607.3218
1643,604.738
1644,622.4642
1645,658.8066
1646,632.3519
1647,601.4993
1648,644.3811
1649,603.419
1650,648.6439
1651,605.6529
1652,669.7089
1653,627.8138
1654,614.8884
1655,654.925
1656,622.0731
1657,664.4796
1658,672.6398
1659,630.7049
1660,667.0777
1661,628.3867
1662,662.021
1663,630.0566
1664,683.976
1665,632.4151
1666,665.9045
1667,670.5585
1668,660.9331
1669,645.1419
1670,659.4435
1671,687.2084
1672,676.4737
1673,666.9991
1674,696.455
1675,608.9917
1676,751.771
1677,745.076
1678,801.167
1679,784.47
1680,759.112
1681,787.286
1682,823.619
1683,772.236
1684,826.03
1685,799.898
1686,848.1
1687,870.153
1688,869.831
1689,905.771
1690,885.145
1691,915.714
1692,959.078
1693,920.845
1694,933.114
1695,952.365
1696,887.377
1697,901.565
1698,925.585
1699,969.848
1700,998.22
1701,1044.501
1702,981.375
1703,1039.716
1704,1080.124
1705,1071.716
1706,1149.931
1707,1035.326
1708,1107.435
1709,1022.818
1710,1102.853
1711,1070.54
1712,1106.501
1713,1163.968
1714,1159.703
1715,1194.72
1716,1127.06
1717,1178.211
1718,1227.668
1719,1233.64
1720,1187.691
1721,1249.288
1722,1204.25
1723,1270.69
1724,1281.87
1725,1351.818
1726,1303.82
1727,1328.343
1728,1403.114
1729,1281.098
1730,1455.491
1731,1405.868
1732,1344.775
1733,1366.207
1734,1381.645
1735,1473.909
1736,1474.074
1737,1470.833
1738,1406.568
1739,1499.437
1740,1564.349
1741,1463.245
1742,1609.051
1743,1569.544
1744,1516.691
1745,1528.554
1746,1651.25
1747,1643.143
1748,1656.488
1749,1678.406
1750,1696.909
1751,1603.587
1752,1744.829
1753,1813.453
1754,1655.086
1755,1815.104
1756,1737.909
1757,1732.516
1758,1782.047
1759,1828.451
1760,1878.6
1761,1900.622
1762,1885.23
1763,1922.068
1764,1815.028
1765,1931.326
1766,1841.457
1767,2006.901
1768,2079.835
1769,1917.118
1770,2044.992
1771,2039.067
1772,2040.59
1773,2207.655
1774,2150.568
1775,2139.242
1776,2160.405
1777,2077.594
1778,2143.123
1779,2385.12
1780,2338.995
1781,2316.981
1782,2330.998
1783,2380.149
1784,2437.353
1785,2303.5
1786,2332.166
1787,2475.4
1788,2506.812
1789,2457.255
1790,2360.626
1791,2628.995
1792,2691.179
1793,2526.024
1794,2676.76
1795,2719.758
1796,2681.647
1797,2612.977
1798,2609.309
1799,2868.46
1800,2702.291
1801,400.4102
1802,445.9439
1803,920.096
1804,1382.614
1805,1862.831
1806,1968.705
1807,1978.446
1808,1969.429
1809,1994.925
1810,2001.96
1811,392.4965
1812,417.2323
1813,853.721
1814,1274.118
1815,1716.678
1816,1999.47
1817,1954.506
1818,1979.86
1819,1981.846
1820,1983.191
1821,390.2072
1822,391.276
1823,687.953
1824,937.148
1825,1249.702
1826,1501.572
1827,1828.801
1828,1895.704
1829,1930.569
1830,1945.959
1831,372.3122
1832,361.6529
1833,564.6952
1834,740.042
1835,905.324
1836,1337.1
1837,1467.893
1838,1763.853
1839,1864.809
1840,1990.983
1841,333.3257
1842,328.1454
1843,492.2105
1844,585.0671
1845,829.563
1846,919.338
1847,1178.51
1848,1332.663
1849,1713.781
1850,1742.355
1851,295.6812
1852,277.8881
1853,377.7054
1854,461.0539
1855,619.7004
1856,793.729
1857,1019.105
1858,1067.438
1859,1313.301
1860,1498.758
1861,248.7671
1862,228.6703
1863,344.707
1864,413.64
1865,509.922
1866,631.9554
1867,775.48
1868,917.941
1869,1020.205
1870,1359.227
1871,205.2988
1872,190.3486
1873,324.4425
1874,309.0493
1875,466.1125
1876,585.5158
1877,628.335
1878,760.155
1879,894.694
1880,1208.737
1881,210.1324
1882,200.7971
1883,288.7115
1884,296.6063
1885,375.3235
1886,435.9826
1887,482.2634
